coef,std_err,t,p_value,signif
32.11921392143993,1.3872336563322396,23.153427524503083,5.342668778112066e-114,***
6.50873654542528,0.3602056202261123,18.069503028130274,3.0862103603544416e-71,***
-6.726803074353856,0.4010336340285349,-16.773663113441554,7.649328160127123e-62,***
-4.75704656191722,0.38015509737817255,-12.513436212549275,1.6244717697126022e-35,***
-7.026702634920366,0.6081177188856742,-11.554839493570787,1.3930189836540046e-30,***
4.236153421619292,0.5144875671806636,8.23373331416531,2.1768767869200217e-16,***
-1.9536913603271073,0.2595653663875365,-7.526779814723838,5.910482851172474e-14,***
5.379875859750937,0.7419437021529499,7.251056709747351,4.61860612639282e-13,***
0.04193805873938333,0.005970385449246296,7.024346936373699,2.3711955202245374e-12,***
0.02317278821912703,0.003500517442775246,6.619817954900806,3.8858428754823123e-11,***
-3.8410076205400854,0.5908598098034631,-6.500708893735241,8.591962468910781e-11,***
5.187492425215137,0.8091115021816807,6.411344309440207,1.5444030479404723e-10,***
3.151031086872711,0.5088931327972854,6.191930847154712,6.308425571233532e-10,***
-1.9594975811667443,0.3343118141812394,-5.861287271482569,4.819626088487892e-09,***
-0.07580231934884699,0.013214030024805137,-5.736502732819,1.0103109093750316e-08,***
5.017058312483741e-05,8.850417059804393e-06,5.668725302527862,1.5008269772441897e-08,***
0.09631705480350437,0.018387031565424414,5.238314540375412,1.6718118384911212e-07,***
4.236241924017764,0.886060100996819,4.780987112783868,1.7830421636878935e-06,***
2.2766495607419848,0.4842799951462692,4.701101807962062,2.6413595897669024e-06,***
0.05240568841096356,0.011366225378161383,4.610650120633168,4.091452443584842e-06,***
0.04480425747730398,0.010012904556402752,4.474651408581928,7.784974378041031e-06,***
-1.6322154180317954,0.36786433128450297,-4.437003751715887,9.27352887595471e-06,***
-0.9415077843262585,0.22735393593306086,-4.141154541540305,3.499690044686662e-05,***
0.026449689237183903,0.006439286063341601,4.107549963925366,4.048218372202192e-05,***
-1.3533192908148524,0.3363487010083973,-4.023560331160801,5.7979934796416884e-05,***
