,count,mean,std,min,25%,50%,75%,max,Asimetria,Curtosis
CodigoProvincia,8117.0,26.664654428976224,14.893449351393139,1.0,13.0,26.0,41.0,50.0,0.009614469969912607,-1.3230216994806197
TotalCensus,8117.0,4247.863989158556,34423.4393458472,5.0,140.0,447.0,1843.0,2363829.0,46.54464768974655,2893.452944979406
AbstentionPtge,8117.0,26.50164740667734,7.5334383575527815,0.0,21.678,26.424,31.471,57.576,-0.05373592982913489,0.49367091705889754
Age_under19_Ptge,8117.0,13.564087470740422,6.777445203644593,0.0,8.334,13.881,19.055,33.696,-0.10476284149831742,-0.7922500838110222
Age_19_65_pct,8117.0,57.370591597880995,6.818636973063037,23.459,53.845,58.655,61.818,100.002,-0.814264091379376,2.155838956787565
WomanPopulationPtge,8117.0,47.30229690772453,4.3623465570201025,11.765,45.725,48.485,50.0,72.683,-1.6711022392766028,5.800629242429779
ForeignersPtge,8117.0,5.618322040162622,7.348699778597031,-8.96,1.06,3.59,8.18,71.47,2.498261638417488,11.356789221135692
DifComAutonPtge,8117.0,10.727261426635456,8.847631487510883,0.0,4.933,8.269,13.891,100.0,2.4259909339071246,9.66396547434137
SameComAutonDiffProvPtge,8117.0,4.337636811629912,6.394941935080094,0.0,0.676,2.19,5.277,67.308,3.286827646060731,14.560135677400375
UnemployLess25_Ptge,8117.0,7.320240852531724,9.408800550308321,0.0,0.0,5.882,10.467,100.0,4.150961751072804,31.664819009063155
UnemployMore40_Ptge,8117.0,55.67849180731797,22.08767194948778,0.0,44.171,52.0,64.583,100.0,0.25970124934199257,0.7058857838529287
AgricultureUnemploymentPtge,8117.0,8.402873352223727,12.95944020916678,0.0,0.0,3.497,11.741,100.0,3.228915943577097,15.572832885162512
IndustryUnemploymentPtge,8117.0,10.009589749907601,12.52946185898795,0.0,0.0,7.143,14.286,100.0,3.0894403429556303,16.047235367589764
ConstructionUnemploymentPtge,8117.0,10.83840988049772,13.282677483503457,0.0,0.0,8.333,14.286,100.0,3.093595203152823,14.620223340310446
ServicesUnemploymentPtge,8117.0,58.64683343599852,24.261856748170654,0.0,50.0,62.0,72.131,100.0,-0.8056051066900163,0.8000006507018118
SUPERFICIE,8109.0,6215.296238253793,9218.604158200962,2.5784,1839.2392,3488.552,6894.5272,175022.91,6.073326472193086,62.335015263829675
PobChange_pct,8110.0,-4.900726263871763,10.382354936224344,-52.27,-10.4,-4.965,0.09,138.46,1.5064437037528118,15.112051943355178
Explotaciones,8117.0,2447.8064555870396,15064.54505350775,1.0,22.0,52.0,137.0,99999.0,6.321265181928659,37.977122880357484
Izda_Pct,8117.0,34.4039567574227,16.484308216184512,0.0,21.891,35.165,46.032,94.117,0.059881731020048866,-0.4935377866646795
Dcha_Pct,8117.0,48.912165578415674,19.94647075480731,0.0,38.69,51.579,62.187,100.0,-0.46761551904018506,-0.17561526339149003
Otros_Pct,8117.0,14.669310705925836,25.095942308247487,0.0,0.759,1.883,16.568,100.0,1.8013382110496376,1.8513740085256254
