Variables,R2
ConstructionUnemploymentPtge,8.473835133582241e-06
IndustryUnemploymentPtge,9.529826431542432e-06
DifComAutonPtge,1.134709035943704e-05
Age_19_65_pct,1.935676672426556e-05
ForeignersPtge,2.533185922670711e-05
Explotaciones_cat,5.4591805146109174e-05
Age_under19_Ptge,6.639800961072417e-05
WomanPopulationPtge,0.00016025701058464126
ServicesUnemploymentPtge,0.00034932720575819864
Densidad,0.000638125915305765
ActividadPpal,0.00083191133138516
SUPERFICIE,0.0011333241254048998
CCAA,0.0018709158304430762
