Variable,N_Observaciones,Outliers_IQR,Outliers_Zscore,Pct_IQR,Pct_Zscore
UnemployMore40_Ptge,8117,1261,0,15.535296291733399,0.0
TotalCensus,8117,1149,45,14.15547616114328,0.5543920167549587
Explotaciones,8117,911,189,11.223358383639276,2.3284464703708267
SUPERFICIE,8109,723,140,8.916019237883832,1.726476754223702
ServicesUnemploymentPtge,8117,702,0,8.648515461377357,0.0
SameComAutonDiffProvPtge,8117,675,200,8.315880251324382,2.463964518910928
AgricultureUnemploymentPtge,8117,519,160,6.393987926573858,1.9711716151287422
DifComAutonPtge,8117,388,147,4.7800911666872,1.8110139213995318
PobChange_pct,8110,372,108,4.586929716399507,1.3316892725030827
ConstructionUnemploymentPtge,8117,343,119,4.225699149932241,1.466058888752002
IndustryUnemploymentPtge,8117,247,154,3.042996180854996,1.8972526795614144
UnemployLess25_Ptge,8117,225,91,2.7719600837747937,1.1211038561044722
